DateOccured,MonthReportedtoMSHP,Count,Crime,District,Neighborhood,XCoord,YCoord,TMAX  ,TMIN  
2012-08-29,2012-09,1,266999,1,16,893976.6,999674.9,328.0,194.0
2012-08-29,2012-09,1,65701,2,8,878123.2,997601.3,328.0,194.0
2012-08-29,2012-09,1,266999,7,49,885118.9,1029008.0,328.0,194.0
2012-08-29,2012-09,1,51212,7,48,879842.8,1032097.0,328.0,194.0
2012-08-29,2012-09,1,81000,8,56,894954.8,1032738.0,328.0,194.0
2012-08-29,2012-09,1,91114,8,56,894954.8,1032738.0,328.0,194.0
2012-08-29,2012-09,1,266999,7,50,884807.3,1037849.0,328.0,194.0
2012-08-29,2012-09,1,64701,1,5,887376.7,997596.3,328.0,194.0
2012-08-29,2012-09,-1,69702,7,46,0.0,0.0,328.0,194.0
2012-08-29,2012-09,1,51322,1,5,887334.5,1000894.0,328.0,194.0
2012-08-29,2012-09,1,130000,5,67,901940.1,1031028.0,328.0,194.0
2012-08-29,2012-09,1,67701,7,47,883578.8,1026844.0,328.0,194.0
2012-08-29,2012-09,1,51121,3,30,898679.4,1006177.0,328.0,194.0
2012-08-29,2012-09,1,51121,3,30,898365.7,1005769.0,328.0,194.0
2012-08-29,2012-09,1,266999,3,19,894727.6,1003884.0,328.0,194.0
2012-08-30,2012-09,1,51312,7,52,888947.8,1033762.0,356.0,211.0
2012-08-30,2012-09,1,69702,8,55,889895.8,1030954.0,356.0,211.0
2012-08-30,2012-09,1,264100,9,59,898088.1,1026187.0,356.0,211.0
2012-08-30,2012-09,1,51312,3,25,896381.8,1008022.0,356.0,211.0
2012-08-30,2012-09,1,117000,2,12,886712.8,1014540.0,356.0,211.0
2012-08-30,2012-09,1,142320,6,73,890467.9,1049309.0,356.0,211.0
2012-08-30,2012-09,1,69602,8,56,893727.1,1032897.0,356.0,211.0
2012-08-30,2012-09,1,67701,1,5,885332.8,996603.4,356.0,211.0
2012-08-30,2012-09,1,41011,8,57,893610.0,1027904.0,356.0,211.0
